stock_code,category_code,year,quarter,data
HPG,IS_022,2023,0,5191511
HPG,IS_023,2021,0,2525823
HPG,IS_023,2022,0,3083638
HPG,IS_023,2023,0,3585077
HPG,IS_024,2021,0,4465
HPG,IS_024,2022,0,-1072
HPG,IS_024,2023,0,0
HPG,IS_025,2021,0,2120068
HPG,IS_025,2022,0,2665806
HPG,IS_025,2023,0,1961362
HPG,IS_026,2021,0,1324261
HPG,IS_026,2022,0,1019444
HPG,IS_026,2023,0,1307290
HPG,IS_030,2021,0,37008443
HPG,IS_030,2022,0,9794030
HPG,IS_030,2023,0,7650762
HPG,IS_031,2021,0,796666
HPG,IS_031,2022,0,872024
HPG,IS_031,2023,0,771973
HPG,IS_032,2021,0,748331
HPG,IS_032,2022,0,743114
HPG,IS_032,2023,0,630007
HPG,IS_040,2021,0,48334
HPG,IS_040,2022,0,128910
HPG,IS_040,2023,0,141965
HPG,IS_050,2021,0,37056777
HPG,IS_050,2022,0,9922941
HPG,IS_050,2023,0,7792728
HPG,IS_051,2021,0,2855306
HPG,IS_051,2022,0,1001020
HPG,IS_051,2023,0,1073551
HPG,IS_052,2021,0,-319483
HPG,IS_052,2022,0,477491
HPG,IS_052,2023,0,-81211
HPG,IS_060,2021,0,34520954
HPG,IS_060,2022,0,8444429
HPG,IS_060,2023,0,6800388
HPG,IS_061,2021,0,34478143
HPG,IS_061,2022,0,8483510
HPG,IS_061,2023,0,6835064
HPG,IS_062,2021,0,42811
HPG,IS_062,2022,0,-39081
HPG,IS_062,2023,0,-34676
HPG,IS_070,2021,0,7166
HPG,IS_070,2022,0,1452
HPG,IS_070,2023,0,1117
HPG,IS_071,2021,0,0
HPG,IS_071,2022,0,0
HPG,IS_071,2023,0,0
VHM,IS_001,2021,0,84985606
VHM,IS_001,2022,0,62392603
VHM,IS_001,2023,0,103556722
VHM,IS_002,2021,0,0
VHM,IS_002,2022,0,0
VHM,IS_002,2023,0,0
VHM,IS_010,2021,0,84985606
VHM,IS_010,2022,0,62392603
VHM,IS_010,2023,0,103556722
VHM,IS_011,2021,0,36526042
VHM,IS_011,2022,0,31696276
VHM,IS_011,2023,0,67850122
VHM,IS_020,2021,0,48459564
VHM,IS_020,2022,0,30696327
VHM,IS_020,2023,0,35706599
VHM,IS_021,2021,0,7994896
VHM,IS_021,2022,0,16690166
VHM,IS_021,2023,0,19954130
VHM,IS_022,2021,0,2785675
VHM,IS_022,2022,0,4394118
VHM,IS_022,2023,0,3870288
VHM,IS_023,2021,0,2348161
VHM,IS_023,2022,0,2075514
VHM,IS_023,2023,0,3052805
VHM,IS_024,2021,0,53759
VHM,IS_024,2022,0,56384
VHM,IS_024,2023,0,10698
VHM,IS_025,2021,0,2289008
VHM,IS_025,2022,0,2431780
VHM,IS_025,2023,0,3662803
VHM,IS_026,2021,0,3768594
VHM,IS_026,2022,0,2643927
VHM,IS_026,2023,0,4092922
VHM,IS_030,2021,0,47664942
VHM,IS_030,2022,0,37973051
VHM,IS_030,2023,0,44045413
VHM,IS_031,2021,0,616722
VHM,IS_031,2022,0,1133744
VHM,IS_031,2023,0,784716
VHM,IS_032,2021,0,98687
VHM,IS_032,2022,0,464097
VHM,IS_032,2023,0,1519844
VHM,IS_040,2021,0,518035
VHM,IS_040,2022,0,669647
VHM,IS_040,2023,0,-735128
VHM,IS_050,2021,0,48182977
VHM,IS_050,2022,0,38642698
VHM,IS_050,2023,0,43310285
VHM,IS_051,2021,0,8978371
VHM,IS_051,2022,0,9820840
VHM,IS_051,2023,0,9232770
VHM,IS_052,2021,0,256128
VHM,IS_052,2022,0,-339732
VHM,IS_052,2023,0,544638
VHM,IS_060,2021,0,38948478
VHM,IS_060,2022,0,29161589
VHM,IS_060,2023,0,33532876
VHM,IS_061,2021,0,38824562
VHM,IS_061,2022,0,28830868
VHM,IS_061,2023,0,33371406
VHM,IS_062,2021,0,123916
VHM,IS_062,2022,0,330721
VHM,IS_062,2023,0,161469
VHM,IS_070,2021,0,9015
VHM,IS_070,2022,0,6621
VHM,IS_070,2023,0,7664
VHM,IS_071,2021,0,0
VHM,IS_071,2022,0,6621
VHM,IS_071,2023,0,7664
FPT,IS_001,2021,0,35671052
FPT,IS_001,2022,0,44023010
FPT,IS_001,2023,0,52625174
FPT,IS_002,2021,0,13789
FPT,IS_002,2022,0,13483
FPT,IS_002,2023,0,7274
FPT,IS_010,2021,0,35657262
