stock_code,year,quarter,AFDAR,AFDATTAR,ALCR,ATDR,BEP,BEPR,CDCR,CFFSTS,CFM,CFOTTE,CIC,CROA,CROFA,CashR,CurrentR,DTAR,DTER,DTTCR,DTTNWR,EBITDA,EQR,ER,FASFR,FCF,FITNRR,FL,GPM,GSR,ICR,LTASFR,LTDCR,LTDTECR,LTDTER,NIM,OPM,PFR,POCOGS,POOE,PSR,QR,ROA,ROE,ROFA,ROI,ROLTOA,ROS,RTPR,RTSR,RTTAR,STDTAR,STDTER,TIE
NVB,2018,4,,-0.0054200249420937,-0.0110046750709499,1.0467624607464636,0.0010161839203984,0.0010161839203984,-0.0552066033597195,-3.912929128982721,-0.0507717213514644,-1.1756908314082406,-2.814811323687348,-0.05273699398437,-3.8228231607993592,0.2046219217085725,0.9323694031374278,0.9553265783785208,21.384674459750755,0.9553265783785208,24.848492629050863,,-149.41561604021837,0.044673421621479,5.262175725957535,-3789657.0,0.7477959436760396,0.9553265783785208,,1.0467624607464636,0.0738079313142212,2.442842863549133,0.1416021101653585,2.8909111418439166,2.8909111418439166,0.0041097511785126,0.7099105048080138,,,0.2609756270520575,,,0.0003515170207769,0.007868594077153,0.0414059247502081,0.0003515170207769,0.0192217388875383,0.0261882207006359,0.0,0.0,0.0,,,0.0738079313142212
NVB,2019,0,,-0.0053135294064526,-0.0112679822054004,1.0566016821455866,0.0006846404574708,0.0006846404574708,0.0758290084799465,3.892037369125392,-0.0371104719732347,1.2790261250450463,2.3328153714191004,0.0720866017170714,9.146710969302823,0.2148943827460841,4.735620059642406,0.946430444791032,17.667319452235972,0.946430444791032,19.667562925985973,,127.67943071716655,0.0535695552089681,7.305251123350596,5523428.0,0.1977556149447456,0.946430444791032,,1.0566016821455866,0.0133178799694642,3.46136232301061,0.4411059511810504,0.6549528266838059,0.6549528266838059,0.0174509583476189,0.3904984575555753,,,0.0638068486782693,,,0.0005366319401211,0.0100174798545141,0.0731802059603311,0.0005366319401211,0.0346741273399329,0.0304828847314253,0.0745099415343023,1.0218294347071664,0.0705184771076635,,,0.0133178799694642
NVB,2019,1,,-0.0056584011625572,-0.0112852012077713,1.0490472062292802,0.0001919221088575,0.0001919221088575,-0.0298603347209833,-9.22232162827108,-0.0601506767117807,-0.6229285349370741,-1.0822300822208069,-0.0284959775686471,-3.306240304242242,0.492582974886831,3.839360595615996,0.9532459493357056,20.38852111831442,0.9532459493357056,23.65137929024198,,-189.69270491033703,0.0467540506642942,5.340962534086867,-2018241.0,0.2272329266395537,0.9532459493357056,,1.0490472062292802,0.0137213314452847,2.468440295474575,0.2230469552345724,1.816272776519332,1.816272776519332,0.0031296681037207,0.1843992349791627,,,0.0745126790201532,,,0.000153534804074,0.0032838823993337,0.017539092861189,0.000153534804074,0.0081060676401152,0.0486171654973776,0.0801490722393179,4.456168818884927,0.0764017784551446,,,0.0137213314452847
NVB,2019,2,,-0.0058801198452446,-0.0114640426317878,1.0644420916262758,0.0001024812804397,0.0001024812804397,-0.027568990723053,-6.207795356127627,-0.0968644138506466,-0.4367642629855254,-0.8648374176364081,-0.0261213196548355,-3.076436066566606,0.2173073823678359,1.981789461704096,0.939459279059681,15.517807922799586,0.939459279059681,17.313439710830334,,-322.5226017943409,0.060540720940319,7.129112587282128,-1869344.0,0.1378723404255319,0.939459279059681,,1.0644420916262758,0.0072275454776714,3.3177241840137546,0.3149850813323762,0.9569070114161828,0.9569070114161828,0.0045231789479136,0.3001946016312,,,0.0343803237302532,,,8.198502435178716e-05,0.0013542128847888,0.0096543361228079,8.198502435178716e-05,0.004492904838167,0.0192476289152785,0.0753906962073411,3.841175933590223,0.0708264891067561,,,0.0072275454776714
NVB,2019,3,,-0.0058551882145152,-0.0110142871575119,1.0643881031756697,4.515932441311665e-05,4.515932441311665e-05,-0.0524667004359243,-12.759554282806054,-0.1509356280484412,-0.8312966108383495,-2.2878393417036467,-0.0497125771526013,-5.89384458871628,0.6312596565803336,1.647067485353397,0.9395069308050666,15.530819370027183,0.9395069308050666,17.31718221907239,,-1396.1003921568629,0.0604930691949334,7.220021343781559,-3552055.0,0.1024350438604625,0.9395069308050666,,1.0643881031756697,0.002952544110381,3.391316398399105,0.3999825157271351,0.7372090916265931,0.7372090916265931,0.0044055947200589,0.3411944331943902,,,0.0173925816314317,,,3.6020105490599767e-05,0.0005954418575544,0.0042991029205239,3.6020105490599767e-05,0.0020193317358175,0.0091394246104992,0.0853020199797141,4.166191807056218,0.0801418389826136,,,0.002952544110381
NVB,2019,4,,-0.0053135294064526,-0.0112679822054004,1.0566016821455866,0.000389158288411,0.000389158288411,0.0758290084799465,9.477083003571748,-0.0871453104874907,1.2790261250450463,5.97160191414507,0.0720866017170714,9.146710969302823,0.2148943827460841,4.735620059642406,0.946430444791032,17.667319452235972,0.946430444791032,19.667562925985973,,228.20225370784647,0.0535695552089681,7.305251123350596,5523428.0,0.262286470733643,0.946430444791032,,1.0566016821455866,0.0282374305255956,3.46136232301061,0.4411059511810504,0.6549528266838059,0.6549528266838059,0.0068336510784818,0.5548459468573435,,,0.1209186197514068,,,0.0003002462048732,0.0056047918206912,0.0409444117442509,0.0003002462048732,0.0194002152364587,0.0415293137976835,0.0745099415343023,3.356202677022715,0.0705184771076635,,,0.0282374305255956
NVB,2020,0,,-0.005114940373593,-0.0113685884886744,1.049951944270822,4.1718172650289216e-05,4.1718172650289216e-05,-0.0151843166057067,-0.7344895514266143,-0.0246693934048717,-0.287502169925073,0.7291577164537179,-0.0144188724506921,-2.125788127141061,0.4807416809284276,3.6315791800831256,0.952424542338923,20.019240784269567,0.952424542338923,22.280355980574427,,-1011.1963696369636,0.047575457661077,7.564642895802981,-1206521.0,0.2211238369758955,0.952424542338923,,1.049951944270822,0.0008260715062346,3.499274750225948,0.5541594678763364,0.5156882063985813,0.5156882063985813,0.0218148972927603,0.5189521041878795,,,0.0046569167921841,,,1.3526598515824111e-05,0.0002843188311962,0.0021507704265517,1.3526598515824111e-05,0.0009949097070187,0.0007263569900773,0.2193941603324739,3.0229028746133326,0.2089563827464887,,,0.0008260715062346
NVB,2020,1,,-0.0063466791298366,-0.0118279836387353,1.0652959813161291,0.0002125087809073,0.0002125087809073,-0.1396907410608863,-35.48630758459076,-0.0441547850791813,-2.3002310212147266,-7.838857751966609,-0.1317036048648039,-16.958796721901987,0.2666776197572108,1.4635427220911708,0.9387062539788624,15.314878187656284,0.9387062539788624,17.03343378156026,,-829.2758160113532,0.0612937460211374,7.420337043515314,-9930659.0,0.2242594833482401,0.9387062539788624,,1.0652959813161291,0.0133224900323786,3.492121673766297,0.6552648645899124,0.4370123911378807,0.4370123911378807,0.0041546438639568,0.3008937757201646,,,0.0765080095041005,,,0.0001700155404053,0.0027737828317222,0.0205824034968952,0.0001700155404053,0.009686387144978,0.0427919238683127,0.0731220173132549,3.445060459815148,0.068640094955503,,,0.0133224900323786
NVB,2020,2,,-0.006522419201552,-0.0119812387283148,1.064493584443431,0.0001156102627733,0.0001156102627733,-0.1491212376767495,-36.53673440046008,-0.0747577135790197,-2.467789110267032,-8.646092807403624,-0.1406407643441856,-18.34945999938109,0.3068461584663317,1.3671231097521377,0.9394138345350842,15.50541823081839,0.9394138345350842,17.221929802935424,,-1673.7113062568606,0.0605861654649157,7.537505162939765,-10660421.0,0.2937690347262756,0.9394138345350842,,1.064493584443431,0.0074587545244626,3.5206250310342107,0.5061878561854457,0.5611364828158338,0.5611364828158338,0.0043403706090576,0.3722049540606044,,,0.0450014722400951,,,8.93307458748863e-05,0.0014744413215359,0.0111136090735289,8.93307458748863e-05,0.0051909550233906,0.0218297709191986,0.0871069614923453,4.176658379861705,0.081829484710224,,,0.0074587545244626
NVB,2020,3,,-0.0062637207059547,-0.0116245179731737,1.0611368335990978,7.148744411966132e-05,7.148744411966132e-05,-0.1308873013414609,-23.926954907533425,-0.0852419643808287,-2.2331160122126965,-7.4749903410238865,-0.1236213793849849,-16.449888243029058,0.1971028874638927,1.5819383122432695,0.9423855325125812,16.356751587062163,0.9423855325125812,18.21152433308185,,-3425.4623925501432,0.0576144674874189,7.470878833339148,-9545420.0,0.1501104019988572,0.9423855325125812,,1.0611368335990978,0.0047089723912789,3.487751050131032,0.4429477617997226,0.6472946392463171,0.6472946392463171,0.0059581443225547,0.4955267792810823,,,0.0263533752554006,,,3.755983138541483e-05,0.0006519166630085,0.0048703903987719,3.755983138541483e-05,0.0022737230260061,0.0069850292210391,0.1475219771102531,6.762356399310036,0.1390225769563546,,,0.0047089723912789
