stock_code,category_code,year,quarter,data
EIB,IS_010,2020,0,245727
EIB,IS_010,2021,0,270604
EIB,IS_010,2016,0,141892
EIB,IS_010,2017,0,698732
EIB,IS_010,2018,0,326970
EIB,IS_010,2019,0,646791
EIB,IS_011,2020,0,39703
EIB,IS_011,2021,0,16772
EIB,IS_011,2016,0,74022
EIB,IS_011,2017,0,267622
EIB,IS_011,2018,0,101400
EIB,IS_011,2019,0,362663
EIB,IS_012,2020,0,206024
EIB,IS_012,2021,0,253832
EIB,IS_012,2016,0,67870
EIB,IS_012,2017,0,431110
EIB,IS_012,2018,0,225570
EIB,IS_012,2019,0,284128
EIB,IS_013,2020,0,3849
EIB,IS_013,2021,0,4739
EIB,IS_013,2016,0,545
EIB,IS_013,2017,0,107648
EIB,IS_013,2018,0,619415
EIB,IS_013,2019,0,4659
EIB,IS_014,2020,0,0
EIB,IS_014,2021,0,0
EIB,IS_014,2016,0,2255214
EIB,IS_014,2017,0,2206068
EIB,IS_014,2018,0,2900904
EIB,IS_014,2019,0,2700748
EIB,IS_015,2020,0,2006903
EIB,IS_015,2021,0,2195190
EIB,IS_015,2016,0,1479696
EIB,IS_015,2017,0,1622155
EIB,IS_015,2018,0,1550674
EIB,IS_015,2019,0,1785540
EIB,IS_016,2020,0,667377
EIB,IS_016,2021,0,990124
EIB,IS_016,2016,0,1089066
EIB,IS_016,2017,0,604576
EIB,IS_016,2018,0,723546
EIB,IS_016,2019,0,690291
EIB,IS_017,2020,0,1339526
EIB,IS_017,2021,0,1205066
EIB,IS_017,2016,0,390630
EIB,IS_017,2017,0,1017579
EIB,IS_017,2018,0,827128
EIB,IS_017,2019,0,1095249
EIB,IS_018,2020,0,314846
EIB,IS_018,2021,0,203673
EIB,IS_018,2016,0,81698
EIB,IS_018,2017,0,194749
EIB,IS_018,2018,0,166538
EIB,IS_018,2019,0,229117
EIB,IS_019,2020,0,-45501
EIB,IS_019,2021,0,35956
EIB,IS_019,2016,0,0
EIB,IS_019,2017,0,0
EIB,IS_019,2018,0,0
EIB,IS_019,2019,0,0
EIB,IS_002,2020,0,7505157
EIB,IS_002,2021,0,6560189
EIB,IS_002,2016,0,5228494
EIB,IS_002,2017,0,6282831
EIB,IS_002,2018,0,6826598
EIB,IS_002,2019,0,8085390
EIB,IS_020,2020,0,0
EIB,IS_020,2021,0,0
EIB,IS_020,2016,0,0
EIB,IS_020,2017,0,0
EIB,IS_020,2018,0,0
EIB,IS_020,2019,0,0
EIB,IS_021,2020,0,1070181
EIB,IS_021,2021,0,965437
EIB,IS_021,2016,0,308932
EIB,IS_021,2017,0,822830
EIB,IS_021,2018,0,660590
EIB,IS_021,2019,0,866132
EIB,IS_022,2020,0,0
EIB,IS_022,2021,0,0
EIB,IS_022,2016,0,0
EIB,IS_022,2017,0,0
EIB,IS_022,2018,0,0
EIB,IS_022,2019,0,0
EIB,IS_023,2020,0,870
EIB,IS_023,2021,0,785
EIB,IS_023,2016,0,251
EIB,IS_023,2017,0,669
EIB,IS_023,2018,0,537
EIB,IS_023,2019,0,704
EIB,IS_003,2020,0,3313736
EIB,IS_003,2021,0,3524302
EIB,IS_003,2016,0,3082079
EIB,IS_003,2017,0,2667818
EIB,IS_003,2018,0,3106895
EIB,IS_003,2019,0,3220366
EIB,IS_004,2020,0,984041
EIB,IS_004,2021,0,952613
EIB,IS_004,2016,0,610947
EIB,IS_004,2017,0,619088
EIB,IS_004,2018,0,683591
EIB,IS_004,2019,0,811551
EIB,IS_005,2020,0,516085
EIB,IS_005,2021,0,519748
EIB,IS_005,2016,0,311095
EIB,IS_005,2017,0,287894
EIB,IS_005,2018,0,336933
EIB,IS_005,2019,0,428015
EIB,IS_006,2020,0,467956
EIB,IS_006,2021,0,432865
EIB,IS_006,2016,0,299852
EIB,IS_006,2017,0,331194
EIB,IS_006,2018,0,346658
EIB,IS_006,2019,0,383536
EIB,IS_007,2020,0,398614
EIB,IS_007,2021,0,394214
EIB,IS_007,2016,0,259839
EIB,IS_007,2017,0,227832
EIB,IS_007,2018,0,269073
EIB,IS_007,2019,0,364541
EIB,IS_008,2020,0,0
EIB,IS_008,2021,0,0
EIB,IS_008,2016,0,259839
EIB,IS_008,2017,0,0
EIB,IS_008,2018,0,0
EIB,IS_008,2019,0,0
EIB,IS_009,2020,0,55408
EIB,IS_009,2021,0,99397
EIB,IS_009,2016,0,24725
EIB,IS_009,2017,0,62621
EIB,IS_009,2018,0,-116033
EIB,IS_009,2019,0,229058
OCB,IS_001,2020,0,10793397
OCB,IS_001,2021,0,11720101
OCB,IS_001,2022,0,14067732
OCB,IS_001,2023,0,18126740
OCB,IS_001,2016,0,4040605
OCB,IS_001,2017,0,5612708
OCB,IS_001,2018,0,7656988
OCB,IS_001,2019,0,9651957
OCB,IS_010,2020,0,323731
OCB,IS_010,2021,0,563511
OCB,IS_010,2022,0,783661
OCB,IS_010,2023,0,1499975
OCB,IS_010,2016,0,167943
OCB,IS_010,2017,0,116450
OCB,IS_010,2018,0,351339
OCB,IS_010,2019,0,818791
OCB,IS_011,2020,0,112734
OCB,IS_011,2021,0,162614
OCB,IS_011,2022,0,139500
OCB,IS_011,2023,0,1246552
OCB,IS_011,2016,0,90629
OCB,IS_011,2017,0,99910
OCB,IS_011,2018,0,156445
OCB,IS_011,2019,0,54339
OCB,IS_012,2020,0,210997
OCB,IS_012,2021,0,400897
OCB,IS_012,2022,0,644161
OCB,IS_012,2023,0,253422
OCB,IS_012,2016,0,77313
OCB,IS_012,2017,0,16540
OCB,IS_012,2018,0,194893
OCB,IS_012,2019,0,723940
OCB,IS_013,2020,0,1901
OCB,IS_013,2021,0,0
OCB,IS_013,2022,0,0
OCB,IS_013,2023,0,0
OCB,IS_013,2016,0,27446
OCB,IS_013,2017,0,39
OCB,IS_013,2018,0,392
OCB,IS_013,2019,0,216
OCB,IS_014,2020,0,2330118
OCB,IS_014,2021,0,2402923
OCB,IS_014,2022,0,3076802
OCB,IS_014,2023,0,3171425
OCB,IS_014,2016,0,1046526
OCB,IS_014,2017,0,1445884
OCB,IS_014,2018,0,1869767
OCB,IS_014,2019,0,2449236
OCB,IS_015,2020,0,5682748
OCB,IS_015,2021,0,6516229
OCB,IS_015,2022,0,5456769
OCB,IS_015,2023,0,5766701
OCB,IS_015,2016,0,813157
OCB,IS_015,2017,0,1277930
OCB,IS_015,2018,0,3146332
OCB,IS_015,2019,0,4163918
OCB,IS_016,2020,0,1263439
OCB,IS_016,2021,0,997676
OCB,IS_016,2022,0,1067461
OCB,IS_016,2023,0,1627225
OCB,IS_016,2016,0,329285
OCB,IS_016,2017,0,256023
OCB,IS_016,2018,0,944471
OCB,IS_016,2019,0,932794
OCB,IS_017,2020,0,4419308
OCB,IS_017,2021,0,5518552
OCB,IS_017,2022,0,4389307
OCB,IS_017,2023,0,4139476
OCB,IS_017,2016,0,483872
OCB,IS_017,2017,0,1021906
OCB,IS_017,2018,0,2201861
OCB,IS_017,2019,0,3231123
OCB,IS_018,2020,0,884536
OCB,IS_018,2021,0,1113593
OCB,IS_018,2022,0,879589
OCB,IS_018,2023,0,836173
