stock_code,category_code,year,quarter,data,date_added
BID,IS_023,2016,0,1.0,2016-12-30
BID,IS_023,2017,0,1499.0,2017-12-30
BID,IS_023,2018,0,1634.0,2018-12-30
BID,IS_023,2019,0,2.0,2019-12-30
BID,IS_003,2020,0,35796799.0,2020-12-30
BID,IS_003,2021,0,46823308.0,2021-12-30
BID,IS_003,2022,0,56069684.0,2022-12-30
BID,IS_003,2023,0,56135566.0,2023-12-30
BID,IS_003,2016,0,23738032.0,2016-12-30
BID,IS_003,2017,0,30955331.0,2017-12-30
BID,IS_003,2018,0,34955864.0,2018-12-30
BID,IS_003,2019,0,35977808.0,2019-12-30
BID,IS_004,2020,0,8618090.0,2020-12-30
BID,IS_004,2021,0,10370092.0,2021-12-30
BID,IS_004,2022,0,10344181.0,2022-12-30
BID,IS_004,2023,0,11893400.0,2023-12-30
BID,IS_004,2016,0,4500700.0,2016-12-30
BID,IS_004,2017,0,5611617.0,2017-12-30
BID,IS_004,2018,0,6801845.0,2018-12-30
BID,IS_004,2019,0,7871837.0,2019-12-30
BID,IS_005,2020,0,3351709.0,2020-12-30
BID,IS_005,2021,0,3755811.0,2021-12-30
BID,IS_005,2022,0,4696116.0,2022-12-30
BID,IS_005,2023,0,5323530.0,2023-12-30
BID,IS_005,2016,0,1996311.0,2016-12-30
BID,IS_005,2017,0,2645847.0,2017-12-30
BID,IS_005,2018,0,3251046.0,2018-12-30
BID,IS_005,2019,0,3605506.0,2019-12-30
BID,IS_006,2020,0,5266381.0,2020-12-30
BID,IS_006,2021,0,6614281.0,2021-12-30
BID,IS_006,2022,0,5648065.0,2022-12-30
BID,IS_006,2023,0,6569870.0,2023-12-30
BID,IS_006,2016,0,2504389.0,2016-12-30
BID,IS_006,2017,0,2965770.0,2017-12-30
BID,IS_006,2018,0,3550799.0,2018-12-30
BID,IS_006,2019,0,4266331.0,2019-12-30
BID,IS_007,2020,0,1732324.0,2020-12-30
BID,IS_007,2021,0,1896154.0,2021-12-30
BID,IS_007,2022,0,3136613.0,2022-12-30
BID,IS_007,2023,0,4707371.0,2023-12-30
BID,IS_007,2016,0,534446.0,2016-12-30
BID,IS_007,2017,0,668128.0,2017-12-30
BID,IS_007,2018,0,1039685.0,2018-12-30
BID,IS_007,2019,0,1494696.0,2019-12-30
BID,IS_008,2020,0,478668.0,2020-12-30
BID,IS_008,2021,0,586241.0,2021-12-30
BID,IS_008,2022,0,-31664.0,2022-12-30
BID,IS_008,2023,0,305396.0,2023-12-30
BID,IS_008,2016,0,433668.0,2016-12-30
BID,IS_008,2017,0,481615.0,2017-12-30
BID,IS_008,2018,0,645456.0,2018-12-30
BID,IS_008,2019,0,325524.0,2019-12-30
BID,IS_009,2020,0,1516137.0,2020-12-30
BID,IS_009,2021,0,207431.0,2021-12-30
BID,IS_009,2022,0,258467.0,2022-12-30
BID,IS_009,2023,0,2871740.0,2023-12-30
BID,IS_009,2016,0,364787.0,2016-12-30
BID,IS_009,2017,0,331341.0,2017-12-30
BID,IS_009,2018,0,234077.0,2018-12-30
BID,IS_009,2019,0,481222.0,2019-12-30
EIB,IS_001,2020,0,10818893.0,2020-12-30
EIB,IS_001,2021,0,10084491.0,2021-12-30
EIB,IS_001,2022,0,12170179.0,2022-12-30
EIB,IS_001,2023,0,14699192.0,2023-12-30
EIB,IS_001,2016,0,8310573.0,2016-12-30
EIB,IS_001,2017,0,8950649.0,2017-12-30
EIB,IS_001,2018,0,9933493.0,2018-12-30
EIB,IS_001,2019,0,11305756.0,2019-12-30
EIB,IS_010,2020,0,245727.0,2020-12-30
EIB,IS_010,2021,0,270604.0,2021-12-30
EIB,IS_010,2022,0,530862.0,2022-12-30
EIB,IS_010,2023,0,930556.0,2023-12-30
EIB,IS_010,2016,0,141892.0,2016-12-30
EIB,IS_010,2017,0,698732.0,2017-12-30
EIB,IS_010,2018,0,326970.0,2018-12-30
EIB,IS_010,2019,0,646791.0,2019-12-30
EIB,IS_011,2020,0,39703.0,2020-12-30
EIB,IS_011,2021,0,16772.0,2021-12-30
EIB,IS_011,2022,0,47880.0,2022-12-30
EIB,IS_011,2023,0,95477.0,2023-12-30
EIB,IS_011,2016,0,74022.0,2016-12-30
EIB,IS_011,2017,0,267622.0,2017-12-30
EIB,IS_011,2018,0,101400.0,2018-12-30
EIB,IS_011,2019,0,362663.0,2019-12-30
EIB,IS_012,2020,0,206024.0,2020-12-30
EIB,IS_012,2021,0,253832.0,2021-12-30
EIB,IS_012,2022,0,482982.0,2022-12-30
EIB,IS_012,2023,0,835079.0,2023-12-30
EIB,IS_012,2016,0,67870.0,2016-12-30
EIB,IS_012,2017,0,431110.0,2017-12-30
EIB,IS_012,2018,0,225570.0,2018-12-30
EIB,IS_012,2019,0,284128.0,2019-12-30
EIB,IS_013,2020,0,3849.0,2020-12-30
EIB,IS_013,2021,0,4739.0,2021-12-30
EIB,IS_013,2022,0,5643.0,2022-12-30
EIB,IS_013,2023,0,1148.0,2023-12-30
EIB,IS_013,2016,0,545.0,2016-12-30
EIB,IS_013,2017,0,107648.0,2017-12-30
EIB,IS_013,2018,0,619415.0,2018-12-30
EIB,IS_013,2019,0,4659.0,2019-12-30
EIB,IS_014,2020,0,0.0,2020-12-30
EIB,IS_014,2021,0,0.0,2021-12-30
EIB,IS_014,2022,0,0.0,2022-12-30
EIB,IS_014,2023,0,3140808.0,2023-12-30
EIB,IS_014,2016,0,2255214.0,2016-12-30
EIB,IS_014,2017,0,2206068.0,2017-12-30
EIB,IS_014,2018,0,2900904.0,2018-12-30
EIB,IS_014,2019,0,2700748.0,2019-12-30
EIB,IS_015,2020,0,2006903.0,2020-12-30
EIB,IS_015,2021,0,2195190.0,2021-12-30
EIB,IS_015,2022,0,3812656.0,2022-12-30
EIB,IS_015,2023,0,3414025.0,2023-12-30
EIB,IS_015,2016,0,1479696.0,2016-12-30
EIB,IS_015,2017,0,1622155.0,2017-12-30
EIB,IS_015,2018,0,1550674.0,2018-12-30
