stock_code,category_code,year,quarter,data
MBS,IS_021.3,2017,0,237
MBS,IS_021.3,2018,0,374
MBS,IS_021.3,2019,0,1494
MBS,IS_021.4,2020,0,0
MBS,IS_021.4,2021,0,0
MBS,IS_021.4,2022,0,0
MBS,IS_021.4,2023,0,0
MBS,IS_021.4,2016,0,0
MBS,IS_021.4,2017,0,0
MBS,IS_021.4,2018,0,0
MBS,IS_021.4,2019,0,0
MBS,IS_023,2020,0,0
MBS,IS_023,2021,0,0
MBS,IS_023,2022,0,0
MBS,IS_023,2023,0,0
MBS,IS_023,2016,0,0
MBS,IS_023,2017,0,0
MBS,IS_023,2018,0,0
MBS,IS_023,2019,0,0
MBS,IS_024,2020,0,0
MBS,IS_024,2021,0,0
MBS,IS_024,2022,0,0
MBS,IS_024,2023,0,0
MBS,IS_024,2016,0,0
MBS,IS_024,2017,0,0
MBS,IS_024,2018,0,0
MBS,IS_024,2019,0,0
MBS,IS_026,2020,0,26789
MBS,IS_026,2021,0,46381
MBS,IS_026,2022,0,44184
MBS,IS_026,2023,0,25632
MBS,IS_026,2016,0,3202
MBS,IS_026,2017,0,5498
MBS,IS_026,2018,0,15005
MBS,IS_026,2019,0,24926
MBS,IS_027,2020,0,317931
MBS,IS_027,2021,0,650574
MBS,IS_027,2022,0,539113
MBS,IS_027,2023,0,479006
MBS,IS_027,2016,0,152833
MBS,IS_027,2017,0,245642
MBS,IS_027,2018,0,335988
MBS,IS_027,2019,0,268922
MBS,IS_028,2020,0,0
MBS,IS_028,2021,0,0
MBS,IS_028,2022,0,836
MBS,IS_028,2023,0,18
MBS,IS_028,2016,0,0
MBS,IS_028,2017,0,930000
MBS,IS_028,2018,0,0
MBS,IS_028,2019,0,0
MBS,IS_029,2020,0,0
MBS,IS_029,2021,0,0
MBS,IS_029,2022,0,0
MBS,IS_029,2023,0,8087
MBS,IS_029,2016,0,0
MBS,IS_029,2017,0,0
MBS,IS_029,2018,0,0
MBS,IS_029,2019,0,0
MBS,IS_003,2020,0,318478
MBS,IS_003,2021,0,646559
MBS,IS_003,2022,0,767597
MBS,IS_003,2023,0,0
MBS,IS_003,2016,0,190502
MBS,IS_003,2017,0,264411
MBS,IS_003,2018,0,309550
MBS,IS_003,2019,0,310293
MBS,IS_030,2020,0,16098
MBS,IS_030,2021,0,17224
MBS,IS_030,2022,0,20436
MBS,IS_030,2023,0,0
MBS,IS_030,2016,0,6941
MBS,IS_030,2017,0,9786
